accuracy,loss,val_accuracy,val_loss,learning_rate
0.48030078411102295,1.2209925651550293,0.4892839789390564,1.3240864276885986,0.0010000000474974513
0.68687504529953,0.8007293939590454,0.6601315140724182,0.7788608074188232,0.0010000000474974513
0.7337667346000671,0.6975395679473877,0.6707257628440857,0.7576795220375061,0.0010000000474974513
0.7628260254859924,0.6385563611984253,0.7592547535896301,0.5386441946029663,0.0010000000474974513
0.7753583192825317,0.6048049330711365,0.7452508807182312,0.5934128761291504,0.0010000000474974513
0.7872640490531921,0.5780776143074036,0.780321478843689,0.5244196057319641,0.0010000000474974513
0.7966371774673462,0.5609623193740845,0.7892109155654907,0.500099778175354,0.0010000000474974513
0.8046004176139832,0.5409674644470215,0.7622990608215332,0.5433178544044495,0.0010000000474974513
0.8117542862892151,0.5236530303955078,0.7872625589370728,0.5231894254684448,0.0010000000474974513
0.8151484131813049,0.5127690434455872,0.796639084815979,0.4941362738609314,0.0010000000474974513
0.8186209201812744,0.5025571584701538,0.8183146715164185,0.4433576762676239,0.0010000000474974513
0.8259053230285645,0.48715871572494507,0.7856795191764832,0.5281105041503906,0.0010000000474974513
0.8304743766784668,0.47953927516937256,0.8258646130561829,0.4333049952983856,0.0010000000474974513
0.833294153213501,0.4702291786670685,0.816853404045105,0.4367929995059967,0.0010000000474974513
0.8370277285575867,0.46105653047561646,0.8337798118591309,0.4215836226940155,0.0010000000474974513
0.8405524492263794,0.45233362913131714,0.7430589199066162,0.6227422952651978,0.0010000000474974513
0.8430328369140625,0.44019177556037903,0.7374573945999146,0.5709851384162903,0.0010000000474974513
0.8457220196723938,0.43631699681282043,0.8336580395698547,0.4051596224308014,0.0010000000474974513
0.8479673862457275,0.43042707443237305,0.8198977112770081,0.43515273928642273,0.0010000000474974513
0.8522231578826904,0.42045408487319946,0.7689965963363647,0.5443978309631348,0.0010000000474974513
0.8520404100418091,0.41815072298049927,0.8379201292991638,0.40564751625061035,0.0010000000474974513
0.8683324456214905,0.38064494729042053,0.8267170190811157,0.41541430354118347,0.00020000000949949026
0.8718571066856384,0.36763903498649597,0.8251339793205261,0.4238129258155823,0.00020000000949949026
0.8744680285453796,0.3626990020275116,0.8318314552307129,0.4027232825756073,0.00020000000949949026
0.8760084509849548,0.3562110662460327,0.8377983570098877,0.39959609508514404,0.00020000000949949026
0.8785932660102844,0.3514688014984131,0.8289089202880859,0.4143611192703247,0.00020000000949949026
0.8789848685264587,0.3481430113315582,0.8317096829414368,0.40493300557136536,0.00020000000949949026
0.8802381157875061,0.34243473410606384,0.8398684859275818,0.3939867317676544,0.00020000000949949026
0.8820134997367859,0.34208008646965027,0.8335362672805786,0.40707096457481384,0.00020000000949949026
0.8814130425453186,0.3368779718875885,0.8382854461669922,0.3985497057437897,0.00020000000949949026
0.8828751444816589,0.33297672867774963,0.8371894955635071,0.4089885652065277,0.00020000000949949026
0.8867653608322144,0.32913652062416077,0.8402338027954102,0.3935922384262085,4.0000002627493814e-05
0.8873658776283264,0.32353439927101135,0.8407208919525146,0.39316967129707336,4.0000002627493814e-05
0.8869220018386841,0.32599616050720215,0.8416950702667236,0.39551737904548645,4.0000002627493814e-05
0.8888279795646667,0.3201894760131836,0.8418168425559998,0.3943992257118225,4.0000002627493814e-05
0.8923788070678711,0.3190394341945648,0.8408426642417908,0.39344432950019836,4.0000002627493814e-05
0.8903945088386536,0.3161337077617645,0.8409644365310669,0.39697664976119995,9.999999747378752e-06
0.8899767398834229,0.3172387182712555,0.8412079811096191,0.3950037956237793,9.999999747378752e-06
0.8893240094184875,0.3200054168701172,0.8405991196632385,0.39766374230384827,9.999999747378752e-06
0.8885668516159058,0.31941062211990356,0.8413297533988953,0.3948272168636322,9.999999747378752e-06
0.8909428119659424,0.31903186440467834,0.842060387134552,0.3979303240776062,9.999999747378752e-06
0.8889846205711365,0.3168191611766815,0.8395031690597534,0.40018796920776367,9.999999747378752e-06
0.8914127349853516,0.31687939167022705,0.8399902582168579,0.3981139659881592,9.999999747378752e-06
0.8912560939788818,0.3161878287792206,0.8405991196632385,0.3977010250091553,9.999999747378752e-06
0.8896634578704834,0.32116252183914185,0.8402338027954102,0.397558331489563,9.999999747378752e-06
0.8903422951698303,0.3142535984516144,0.841086208820343,0.39657849073410034,9.999999747378752e-06
0.8926920890808105,0.31123095750808716,0.8413297533988953,0.39779889583587646,9.999999747378752e-06
0.8904467225074768,0.3132072687149048,0.8409644365310669,0.39757099747657776,9.999999747378752e-06
0.8903422951698303,0.3160873055458069,0.8395031690597534,0.39950838685035706,9.999999747378752e-06
0.8909428119659424,0.31692203879356384,0.8402338027954102,0.39999881386756897,9.999999747378752e-06
